datetime,timestamp,user,src,out,time
2022-12-29 00:03:10,1672272190,S7***-TUTG,2022年里约热内卢锦标赛传奇组亲笔签名胶囊,印花 | sjuush（闪耀）| 2022年里约热内卢锦标赛,1672272190
2022-12-29 00:03:11,1672272191,S5***-UMFN,梦魇武器箱,截短霰弹枪 | 灵应牌,1672272191
2022-12-29 00:03:13,1672272193,SZ***-FXHC,“激流大行动”武器箱,FN57 | 同步力场,1672272193
2022-12-29 00:03:20,1672272200,A4***-YPFN,梦魇武器箱,SCAR-20 | 暗夜活死鸡,1672272200
2022-12-29 00:03:21,1672272201,S7***-TUTG,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | IHC Esports | 2022年里约热内卢锦标赛,1672272201
2022-12-29 00:03:22,1672272202,AM***-PXRA,反冲武器箱,SG 553 | 青龙,1672272202
2022-12-29 00:03:23,1672272203,S5***-UMFN,梦魇武器箱,截短霰弹枪 | 灵应牌,1672272203
2022-12-29 00:03:25,1672272205,SZ***-FXHC,“激流大行动”武器箱,MP7（StatTrak™） | 游击队,1672272205
2022-12-29 00:03:31,1672272211,S7***-TUTG,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | GamerLegion | 2022年里约热内卢锦标赛,1672272211
2022-12-29 00:03:32,1672272212,AL***-W4FG,梦魇武器箱,FN57 | 涂鸦潦草,1672272212
2022-12-29 00:03:33,1672272213,A4***-YPFN,梦魇武器箱,MAC-10（StatTrak™） | 坐牢,1672272213
2022-12-29 00:03:35,1672272215,SZ***-FXHC,“激流大行动”武器箱,M4A4 | 彼岸花,1672272215
2022-12-29 00:03:36,1672272216,S5***-UMFN,梦魇武器箱,USP 消音版（StatTrak™） | 地狱门票,1672272216
2022-12-29 00:03:41,1672272221,S7***-TUTG,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Heroic | 2022年里约热内卢锦标赛,1672272221
2022-12-29 00:03:44,1672272224,SC***-L9FQ,幻彩 3 号武器箱,P2000（StatTrak™） | 海洋,1672272224
2022-12-29 00:03:45,1672272225,A4***-YPFN,梦魇武器箱,截短霰弹枪 | 灵应牌,1672272225
2022-12-29 00:03:48,1672272228,SZ***-FXHC,“激流大行动”武器箱,MP7 | 游击队,1672272228
2022-12-29 00:03:48,1672272228,S5***-UMFN,梦魇武器箱,MAC-10 | 坐牢,1672272228
