datetime,timestamp,user,src,out,time
2023-03-28 00:02:20,1679961740,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | 100 Thieves | 2020 RMR,1679961740
2023-03-28 00:02:21,1679961741,S3***-N4GQ,命悬一线武器箱,XM1014（StatTrak™） | 锈蚀烈焰,1679961741
2023-03-28 00:02:21,1679961741,SW***-MXTN,裂空武器箱,MAG-7 | 北冥有鱼,1679961741
2023-03-28 00:02:25,1679961745,SV***-5YPN,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Sprout Esports | 2022年里约热内卢锦标赛,1679961745
2023-03-28 00:02:25,1679961745,SK***-TUTC,棱彩2号武器箱,CZ75 | 做旧手艺,1679961745
2023-03-28 00:02:29,1679961749,S3***-N4GQ,命悬一线武器箱,R8 左轮手枪 | 稳,1679961749
2023-03-28 00:02:32,1679961752,A6***-YLUE,蛇噬武器箱,新星 | 随风,1679961752
2023-03-28 00:02:34,1679961754,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Natus Vincere | 2020 RMR,1679961754
2023-03-28 00:02:34,1679961754,AV***-CVSJ,段位印花胶囊,印花 | 白银,1679961754
2023-03-28 00:02:35,1679961755,SV***-5YPN,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Team Spirit | 2022年里约热内卢锦标赛,1679961755
2023-03-28 00:02:37,1679961757,SW***-MXTN,裂空武器箱,MAG-7 | 北冥有鱼,1679961757
2023-03-28 00:02:38,1679961758,AZ***-RRSE,间谍印花胶囊,印花 | 信手拈刀,1679961758
2023-03-28 00:02:40,1679961760,S3***-N4GQ,命悬一线武器箱,MP9 | 黑砂,1679961760
2023-03-28 00:02:42,1679961762,SK***-TUTC,棱彩2号武器箱,R8 左轮手枪（StatTrak™） | 骸骨锻造,1679961762
2023-03-28 00:02:43,1679961763,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Ninjas in Pyjamas | 2020 RMR,1679961763
2023-03-28 00:02:44,1679961764,SV***-5YPN,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Team Liquid（闪耀）| 2022年里约热内卢锦标赛,1679961764
2023-03-28 00:02:46,1679961766,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Evil Geniuses | 2020 RMR,1679961766
2023-03-28 00:02:50,1679961770,AV***-CVSJ,段位印花胶囊,印花 | 传奇之鹰 ー 大师级（全息）,1679961770
2023-03-28 00:02:50,1679961770,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Natus Vincere | 2020 RMR,1679961770
2023-03-28 00:02:52,1679961772,SP***-4LPQ,变革武器箱,MAG-7（StatTrak™） | 鱼长梦短,1679961772
2023-03-28 00:02:53,1679961773,SU***-CMVN,梦魇武器箱,P2000 | 升天,1679961773
2023-03-28 00:02:53,1679961773,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Heroic | 2020 RMR,1679961773
2023-03-28 00:02:54,1679961774,SW***-MXTN,裂空武器箱,加利尔 AR | 凤凰商号,1679961774
2023-03-28 00:02:56,1679961776,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Spirit | 2020 RMR,1679961776
2023-03-28 00:02:58,1679961778,A4***-XKZJ,变革武器箱,M4A1 消音型 | 隐伏帝王龙,1679961778
2023-03-28 00:02:59,1679961779,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Ninjas in Pyjamas | 2020 RMR,1679961779
2023-03-28 00:03:00,1679961780,SY***-PSVQ,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1679961780
2023-03-28 00:03:02,1679961782,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | FURIA | 2020 RMR,1679961782
2023-03-28 00:03:03,1679961783,SP***-4LPQ,变革武器箱,SG 553 | 赛博之力,1679961783
2023-03-28 00:03:05,1679961785,AV***-CVSJ,段位印花胶囊,印花 | 黄金新星,1679961785
2023-03-28 00:03:06,1679961786,SZ***-MEUC,命悬一线武器箱,R8 左轮手枪 | 稳,1679961786
2023-03-28 00:03:06,1679961786,A7***-WQHL,2022年安特卫普锦标赛挑战组印花胶囊,印花 | forZe eSports | 2022年安特卫普锦标赛,1679961786
2023-03-28 00:03:07,1679961787,AL***-FBPN,反冲武器箱,MAC-10 | 萌猴迷彩,1679961787
2023-03-28 00:03:11,1679961791,SW***-MXTN,裂空武器箱,SSG 08 | 主机001,1679961791
2023-03-28 00:03:11,1679961791,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | 100 Thieves | 2020 RMR,1679961791
2023-03-28 00:03:11,1679961791,SZ***-MEUC,命悬一线武器箱,P2000 | 都市危机,1679961791
2023-03-28 00:03:11,1679961791,A3***-ZNVE,2020 RMR 传奇组战队胶囊,印花 | Evil Geniuses（全息）| 2020 RMR,1679961791
2023-03-28 00:03:14,1679961794,A4***-S5CN,2020 RMR 传奇组战队胶囊,印花 | Vitality | 2020 RMR,1679961794
2023-03-28 00:03:15,1679961795,SZ***-MEUC,命悬一线武器箱,R8 左轮手枪 | 稳,1679961795
2023-03-28 00:03:17,1679961797,AV***-CVSJ,间谍印花胶囊,印花 | 优雅凝视（闪亮）,1679961797
2023-03-28 00:03:18,1679961798,SU***-CMVN,命悬一线武器箱,P2000 | 都市危机,1679961798
2023-03-28 00:03:18,1679961798,SZ***-S9XE,间谍印花胶囊,印花 | 来对枪（闪亮）,1679961798
2023-03-28 00:03:19,1679961799,SZ***-MEUC,命悬一线武器箱,FN57 | 焰色反应,1679961799
2023-03-28 00:03:22,1679961802,A9***-V5PN,间谍印花胶囊,印花 | 神之投手,1679961802
2023-03-28 00:03:22,1679961802,SW***-MXTN,裂空武器箱,SSG 08 | 主机001,1679961802
