datetime,timestamp,user,src,out,time
2023-03-05 00:00:03,1677974403,SQ***-SSTJ,蛇噬武器箱,R8 左轮手枪 | 废物王,1677974403
2023-03-05 00:00:06,1677974406,AW***-ZYNG,梦魇武器箱,MAC-10 | 坐牢,1677974406
2023-03-05 00:00:14,1677974414,A5***-8APQ,间谍印花胶囊,印花 | 大力雷手,1677974414
2023-03-05 00:00:14,1677974414,SQ***-SSTJ,蛇噬武器箱,MAC-10 | 战争手柄,1677974414
2023-03-05 00:00:17,1677974417,SG***-SKEC,反冲武器箱,法玛斯 | 喵喵36,1677974417
2023-03-05 00:00:17,1677974417,AW***-ZYNG,梦魇武器箱,双持贝瑞塔（StatTrak™） | 瓜瓜,1677974417
2023-03-05 00:00:18,1677974418,SR***-Y5SA,反冲武器箱,双持贝瑞塔 | 食人花,1677974418
2023-03-05 00:00:25,1677974425,SQ***-SSTJ,蛇噬武器箱,新星（StatTrak™） | 随风,1677974425
2023-03-05 00:00:29,1677974429,SR***-Y5SA,反冲武器箱,法玛斯 | 喵喵36,1677974429
2023-03-05 00:00:30,1677974430,S3***-SEFA,棱彩2号武器箱,内格夫 | 原型机,1677974430
2023-03-05 00:00:33,1677974433,AZ***-4QVE,“野火大行动”武器箱,PP-野牛 | 透光区,1677974433
2023-03-05 00:00:37,1677974437,SR***-Y5SA,反冲武器箱,格洛克 18 型 | 冬季战术,1677974437
2023-03-05 00:00:37,1677974437,SQ***-SSTJ,蛇噬武器箱,CZ75 | 短趾雕,1677974437
2023-03-05 00:00:46,1677974446,SR***-Y5SA,反冲武器箱,法玛斯 | 喵喵36,1677974446
2023-03-05 00:00:47,1677974447,SF***-MCSL,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1677974447
2023-03-05 00:00:47,1677974447,AZ***-4QVE,“突围大行动”武器箱,新星 | 锦鲤,1677974447
2023-03-05 00:00:51,1677974451,SQ***-SSTJ,蛇噬武器箱,SG 553 | 重金属摇滚,1677974451
2023-03-05 00:01:00,1677974460,AJ***-N4PG,命悬一线武器箱,XM1014 | 锈蚀烈焰,1677974460
2023-03-05 00:01:03,1677974463,SQ***-SSTJ,蛇噬武器箱,M249 | O.S.I.P.R.,1677974463
2023-03-05 00:01:03,1677974463,A5***-3XBL,梦魇武器箱,G3SG1 | 梦之林地,1677974463
2023-03-05 00:01:13,1677974473,S4***-NDYG,变革武器箱,Tec-9（StatTrak™） | 叛逆,1677974473
2023-03-05 00:01:13,1677974473,A2***-7TVL,梦魇武器箱,MP5-SD | 小小噩梦,1677974473
2023-03-05 00:01:14,1677974474,SQ***-SSTJ,蛇噬武器箱,UMP-45 | 动摇,1677974474
2023-03-05 00:01:21,1677974481,A9***-XGVG,梦魇武器箱,MAC-10 | 坐牢,1677974481
2023-03-05 00:01:24,1677974484,SQ***-SSTJ,蛇噬武器箱,新星 | 随风,1677974484
2023-03-05 00:01:36,1677974496,SQ***-SSTJ,蛇噬武器箱,R8 左轮手枪 | 废物王,1677974496
2023-03-05 00:01:46,1677974506,SQ***-SSTJ,蛇噬武器箱,CZ75 | 短趾雕,1677974506
2023-03-05 00:01:48,1677974508,AX***-Z4SG,梦魇武器箱,G3SG1 | 梦之林地,1677974508
2023-03-05 00:01:56,1677974516,AX***-Z4SG,梦魇武器箱,PP-野牛（StatTrak™） | 太空猫,1677974516
2023-03-05 00:01:57,1677974517,SQ***-SSTJ,蛇噬武器箱,新星 | 随风,1677974517
2023-03-05 00:02:00,1677974520,AS***-BZWQ,反冲武器箱,双持贝瑞塔（StatTrak™） | 食人花,1677974520
2023-03-05 00:02:03,1677974523,AF***-2JNJ,间谍印花胶囊,印花 | 6,1677974523
2023-03-05 00:02:06,1677974526,SH***-V7ZA,变革武器箱,Tec-9 | 叛逆,1677974526
2023-03-05 00:02:09,1677974529,SQ***-SSTJ,蛇噬武器箱,沙漠之鹰 | 后发制人,1677974529
2023-03-05 00:02:11,1677974531,AF***-2JNJ,间谍印花胶囊,印花 | 飘雪（闪耀）,1677974531
2023-03-05 00:02:11,1677974531,A3***-Y4TE,蛇噬武器箱,UMP-45 | 动摇,1677974531
2023-03-05 00:02:14,1677974534,SG***-KQPJ,蛇噬武器箱,内格夫 | 橙灰之名,1677974534
2023-03-05 00:02:15,1677974535,SZ***-HCVN,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Team Liquid | 2022年里约热内卢锦标赛,1677974535
2023-03-05 00:02:15,1677974535,AS***-BZWQ,反冲武器箱,P90 | 给爷冲,1677974535
2023-03-05 00:02:18,1677974538,AS***-BZWQ,反冲武器箱,MAC-10 | 萌猴迷彩,1677974538
2023-03-05 00:02:20,1677974540,SQ***-SSTJ,蛇噬武器箱,SG 553 | 重金属摇滚,1677974540
2023-03-05 00:02:20,1677974540,AR***-Z3AE,反冲武器箱,内格夫（StatTrak™） | 丢把枪,1677974540
2023-03-05 00:02:21,1677974541,AS***-BZWQ,反冲武器箱,R8 左轮手枪 | 疯狂老八,1677974541
2023-03-05 00:02:25,1677974545,AS***-BZWQ,反冲武器箱,加利尔 AR | 毁灭者,1677974545
2023-03-05 00:02:26,1677974546,AF***-2JNJ,间谍印花胶囊,印花 | 闪电猫,1677974546
2023-03-05 00:02:28,1677974548,AS***-BZWQ,反冲武器箱,UMP-45 | 路障,1677974548
2023-03-05 00:02:30,1677974550,SX***-8CEA,反冲武器箱,UMP-45 | 路障,1677974550
2023-03-05 00:02:31,1677974551,AS***-BZWQ,反冲武器箱,P90 | 给爷冲,1677974551
2023-03-05 00:02:31,1677974551,SQ***-SSTJ,蛇噬武器箱,CZ75 | 短趾雕,1677974551
2023-03-05 00:02:33,1677974553,SX***-8CEA,反冲武器箱,法玛斯 | 喵喵36,1677974553
2023-03-05 00:02:34,1677974554,AS***-BZWQ,反冲武器箱,M4A4 | 透明弹匣,1677974554
2023-03-05 00:02:36,1677974556,SX***-8CEA,反冲武器箱,M4A4 | 透明弹匣,1677974556
2023-03-05 00:02:36,1677974556,AF***-2JNJ,间谍印花胶囊,印花 | 飘雪（闪耀）,1677974556
2023-03-05 00:02:36,1677974556,SZ***-HCVN,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | ENCE | 2022年里约热内卢锦标赛,1677974556
2023-03-05 00:02:36,1677974556,AS***-BZWQ,反冲武器箱,格洛克 18 型 | 冬季战术,1677974556
2023-03-05 00:02:40,1677974560,AS***-BZWQ,反冲武器箱,R8 左轮手枪 | 疯狂老八,1677974560
2023-03-05 00:02:40,1677974560,SX***-8CEA,反冲武器箱,M4A4 | 透明弹匣,1677974560
2023-03-05 00:02:40,1677974560,A3***-Y4TE,蛇噬武器箱,P250 | 赛博先锋,1677974560
2023-03-05 00:02:43,1677974563,AS***-BZWQ,反冲武器箱,M4A4 | 透明弹匣,1677974563
2023-03-05 00:02:43,1677974563,SX***-8CEA,反冲武器箱,MAC-10 | 萌猴迷彩,1677974563
2023-03-05 00:02:45,1677974565,AS***-BZWQ,反冲武器箱,P90 | 给爷冲,1677974565
2023-03-05 00:02:48,1677974568,AS***-BZWQ,反冲武器箱,法玛斯 | 喵喵36,1677974568
2023-03-05 00:02:49,1677974569,AF***-2JNJ,间谍印花胶囊,印花 | 疯狂星期一,1677974569
2023-03-05 00:02:51,1677974571,AS***-BZWQ,反冲武器箱,双持贝瑞塔 | 食人花,1677974571
2023-03-05 00:02:53,1677974573,SZ***-HCVN,间谍印花胶囊,印花 | 不是机器人,1677974573
2023-03-05 00:02:54,1677974574,AS***-BZWQ,反冲武器箱,格洛克 18 型 | 冬季战术,1677974574
2023-03-05 00:02:57,1677974577,AS***-BZWQ,反冲武器箱,内格夫 | 丢把枪,1677974577
2023-03-05 00:03:00,1677974580,AF***-2JNJ,间谍印花胶囊,印花 | 赛博小鸡（全息）,1677974580
2023-03-05 00:03:00,1677974580,AS***-BZWQ,反冲武器箱,R8 左轮手枪 | 疯狂老八,1677974580
2023-03-05 00:03:03,1677974583,AS***-BZWQ,反冲武器箱,UMP-45 | 路障,1677974583
2023-03-05 00:03:04,1677974584,SZ***-HCVN,间谍印花胶囊,印花 | 小T快润,1677974584
