datetime,timestamp,user,src,out,time
2023-06-13 00:00:00,1686614400,AK***-MCWG,阿努比斯收藏包,M4A1 消音型 | 泥斑迷彩,1686614400
2023-06-13 00:04:48,1686614688,AU***-C3GG,命悬一线武器箱,PP-野牛（StatTrak™） | 黑夜暴乱,1686614688
2023-06-13 00:04:49,1686614689,SD***-L3EJ,光谱 2 号武器箱,M4A1 消音型 | 破碎铅秋,1686614689
2023-06-13 00:04:53,1686614693,SD***-L3EJ,光谱 2 号武器箱,AUG（StatTrak™） | 三角战术,1686614693
2023-06-13 00:04:54,1686614694,SR***-Y8HN,命悬一线武器箱,FN57 | 焰色反应,1686614694
2023-06-13 00:04:57,1686614697,SD***-L3EJ,光谱 2 号武器箱,MAC-10 | 海洋,1686614697
2023-06-13 00:05:00,1686614700,SD***-L3EJ,光谱 2 号武器箱,MAC-10 | 海洋,1686614700
2023-06-13 00:05:02,1686614702,S9***-ZHEN,梦魇武器箱,USP 消音版 | 地狱门票,1686614702
2023-06-13 00:05:03,1686614703,SD***-L3EJ,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1686614703
2023-06-13 00:05:06,1686614706,SD***-L3EJ,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1686614706
2023-06-13 00:05:09,1686614709,AL***-RJHJ,命悬一线武器箱,SG 553 | 阿罗哈,1686614709
2023-06-13 00:05:09,1686614709,SD***-L3EJ,光谱 2 号武器箱,G3SG1（StatTrak™） | 猎人,1686614709
2023-06-13 00:05:13,1686614713,SD***-L3EJ,光谱 2 号武器箱,MP9 | 焦油缠绕,1686614713
2023-06-13 00:05:16,1686614716,SR***-Y8HN,命悬一线武器箱,R8 左轮手枪 | 稳,1686614716
2023-06-13 00:05:18,1686614718,SD***-L3EJ,光谱 2 号武器箱,SG 553 | 幻影,1686614718
2023-06-13 00:05:19,1686614719,A8***-U3SN,反冲武器箱,MAC-10 | 萌猴迷彩,1686614719
2023-06-13 00:05:23,1686614723,SD***-L3EJ,光谱 2 号武器箱,格洛克 18 型 | 异星世界,1686614723
2023-06-13 00:05:23,1686614723,AR***-GKUJ,梦魇武器箱,MP5-SD（StatTrak™） | 小小噩梦,1686614723
2023-06-13 00:05:25,1686614725,S5***-SKFN,变革武器箱,P2000 | 变态杀戮,1686614725
2023-06-13 00:05:25,1686614725,SD***-L3EJ,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1686614725
2023-06-13 00:05:27,1686614727,AL***-RJHJ,命悬一线武器箱,PP-野牛 | 黑夜暴乱,1686614727
2023-06-13 00:05:28,1686614728,SR***-Y8HN,命悬一线武器箱,FN57（StatTrak™） | 焰色反应,1686614728
2023-06-13 00:05:29,1686614729,SD***-L3EJ,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1686614729
2023-06-13 00:05:33,1686614733,SD***-L3EJ,光谱 2 号武器箱,AUG | 三角战术,1686614733
2023-06-13 00:05:35,1686614735,SD***-L3EJ,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1686614735
2023-06-13 00:05:38,1686614738,AL***-RJHJ,命悬一线武器箱,XM1014 | 锈蚀烈焰,1686614738
2023-06-13 00:05:38,1686614738,SD***-L3EJ,光谱 2 号武器箱,MAC-10 | 海洋,1686614738
2023-06-13 00:05:40,1686614740,SD***-L3EJ,光谱 2 号武器箱,格洛克 18 型 | 异星世界,1686614740
2023-06-13 00:05:41,1686614741,AK***-4VYC,反恐精英20周年印花胶囊,印花 | 周一无战事,1686614741
2023-06-13 00:05:45,1686614745,S5***-ZFGL,2021年斯德哥尔摩锦标赛传奇组印花胶囊,印花 | Team Liquid （全息） | 2021年斯德哥尔摩锦标赛,1686614745
2023-06-13 00:05:46,1686614746,A8***-U3SN,反冲武器箱,M4A4 | 透明弹匣,1686614746
2023-06-13 00:05:46,1686614746,SQ***-8UNA,2023年巴黎锦标赛挑战组亲笔签名胶囊,印花 | NEOFRAG | 2023年巴黎锦标赛,1686614746
2023-06-13 00:05:49,1686614749,AL***-RJHJ,命悬一线武器箱,P2000 | 都市危机,1686614749
2023-06-13 00:05:50,1686614750,SR***-Y8HN,命悬一线武器箱,MAG-7 | SWAG-7,1686614750
2023-06-13 00:05:51,1686614751,SD***-L3EJ,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1686614751
2023-06-13 00:05:55,1686614755,S6***-8BVC,2023年巴黎锦标赛冠军亲笔签名胶囊,印花 | Magisk（冠军）| 2023年巴黎锦标赛,1686614755
2023-06-13 00:05:57,1686614757,SD***-L3EJ,光谱 2 号武器箱,AUG | 三角战术,1686614757
2023-06-13 00:05:59,1686614759,AL***-RJHJ,命悬一线武器箱,PP-野牛（StatTrak™） | 黑夜暴乱,1686614759
2023-06-13 00:06:00,1686614760,SQ***-8UNA,2023年巴黎锦标赛挑战组亲笔签名胶囊,印花 | niko | 2023年巴黎锦标赛,1686614760
2023-06-13 00:06:02,1686614762,SD***-L3EJ,光谱 2 号武器箱,UMP-45 | 曝光,1686614762
2023-06-13 00:06:03,1686614763,S6***-8BVC,2023年巴黎锦标赛冠军亲笔签名胶囊,印花 | ZywOo（闪耀，冠军）| 2023年巴黎锦标赛,1686614763
2023-06-13 00:06:05,1686614765,SD***-L3EJ,光谱 2 号武器箱,MP9 | 焦油缠绕,1686614765
2023-06-13 00:06:07,1686614767,SR***-Y8HN,命悬一线武器箱,新星 | 狂野六号,1686614767
2023-06-13 00:06:08,1686614768,SE***-8GNN,2023年巴黎锦标赛荒漠迷城纪念包,P250（纪念品） | 天旱,1686614768
2023-06-13 00:06:08,1686614768,ST***-M7RJ,阿努比斯收藏包,SSG 08 | 碧蓝雕文,1686614768
2023-06-13 00:06:08,1686614768,SD***-L3EJ,光谱 2 号武器箱,MAC-10 | 海洋,1686614768
2023-06-13 00:06:08,1686614768,AG***-6CEC,阿努比斯收藏包,MP7 | 赤地,1686614768
2023-06-13 00:06:09,1686614769,A5***-E5SQ,反冲武器箱,M249 | 闹市区,1686614769
2023-06-13 00:06:09,1686614769,A8***-U3SN,反冲武器箱,内格夫 | 丢把枪,1686614769
