datetime,timestamp,user,src,out,time
2023-07-19 00:29:23,1689726563,AD***-2MPE,2023年巴黎锦标赛竞争组印花胶囊,印花 | FaZe Clan | 2023年巴黎锦标赛,1689726563
2023-07-19 00:29:23,1689726563,A4***-YHPQ,2023年巴黎锦标赛传奇组印花胶囊,印花 | BLAST.tv | 2023年巴黎锦标赛,1689726563
2023-07-19 00:29:25,1689726565,AN***-6QDQ,反冲武器箱,格洛克 18 型 | 冬季战术,1689726565
2023-07-19 00:29:25,1689726565,SP***-SAXL,“狂牙大行动”武器箱,G3SG1 | 血腥迷彩,1689726565
2023-07-19 00:29:26,1689726566,SP***-H8RG,2023年巴黎锦标赛挑战组印花胶囊,印花 | Apeks | 2023年巴黎锦标赛,1689726566
2023-07-19 00:29:26,1689726566,A6***-3FZG,阿努比斯收藏包,M249 | 淹没,1689726566
2023-07-19 00:29:27,1689726567,SM***-NCWE,2023年巴黎锦标赛竞争组印花胶囊,印花 | BLAST.tv | 2023年巴黎锦标赛,1689726567
2023-07-19 00:29:28,1689726568,SJ***-6AQQ,变革武器箱,P90 | 元女王,1689726568
2023-07-19 00:29:30,1689726570,S3***-RBWJ,2023年巴黎锦标赛竞争组亲笔签名胶囊,印花 | sk0R（闪耀）| 2023年巴黎锦标赛,1689726570
2023-07-19 00:29:31,1689726571,AQ***-3EPG,2023年巴黎锦标赛荒漠迷城纪念包,SSG 08（纪念品） | 掠夺者,1689726571
2023-07-19 00:29:31,1689726571,AL***-Z8ZQ,棱彩武器箱,法玛斯 | 保护色,1689726571
2023-07-19 00:29:33,1689726573,AF***-BQXL,2023年巴黎锦标赛竞争组印花胶囊,印花 | Grayhound Gaming | 2023年巴黎锦标赛,1689726573
2023-07-19 00:29:34,1689726574,AD***-2MPE,2023年巴黎锦标赛竞争组印花胶囊,印花 | BLAST.tv | 2023年巴黎锦标赛,1689726574
2023-07-19 00:29:34,1689726574,SP***-H8RG,2023年巴黎锦标赛挑战组印花胶囊,印花 | Monte | 2023年巴黎锦标赛,1689726574
2023-07-19 00:29:35,1689726575,A4***-YHPQ,2023年巴黎锦标赛传奇组印花胶囊,印花 | FURIA（闪耀）| 2023年巴黎锦标赛,1689726575
2023-07-19 00:29:35,1689726575,S8***-TSZQ,命悬一线武器箱,MP9 | 黑砂,1689726575
2023-07-19 00:29:36,1689726576,SM***-NCWE,2023年巴黎锦标赛竞争组印花胶囊,印花 | Fluxo（全息）| 2023年巴黎锦标赛,1689726576
2023-07-19 00:29:36,1689726576,AN***-PMZC,2023年巴黎锦标赛竞争组印花胶囊,印花 | MOUZ | 2023年巴黎锦标赛,1689726576
2023-07-19 00:29:36,1689726576,ST***-48RE,2023年巴黎锦标赛竞争组印花胶囊,印花 | BLAST.tv | 2023年巴黎锦标赛,1689726576
