datetime,timestamp,user,src,out,time
2022-12-27 00:02:51,1672099371,SK***-ZVHL,反冲武器箱,加利尔 AR | 毁灭者,1672099371
2022-12-27 00:02:52,1672099372,SK***-LCTA,裂空武器箱,PP-野牛 | 神秘碑文,1672099372
2022-12-27 00:02:52,1672099372,AU***-AGNQ,伽玛武器箱,P250 | 铠甲,1672099372
2022-12-27 00:02:53,1672099373,A4***-36SE,光环胶囊,印花 | 焚化,1672099373
2022-12-27 00:02:54,1672099374,AU***-AGNQ,伽玛武器箱,PP-野牛 | 收割机,1672099374
2022-12-27 00:02:57,1672099377,AU***-AGNQ,伽玛武器箱,新星 | Exo,1672099377
2022-12-27 00:02:59,1672099379,AU***-AGNQ,伽玛武器箱,P250 | 铠甲,1672099379
2022-12-27 00:03:01,1672099381,AY***-RJFC,梦魇武器箱,MAG-7 | 先见之明,1672099381
2022-12-27 00:03:01,1672099381,AN***-YLHQ,“激流大行动”武器箱,MP7 | 游击队,1672099381
2022-12-27 00:03:01,1672099381,AU***-AGNQ,伽玛武器箱,FN57 | 霸意大名,1672099381
2022-12-27 00:03:02,1672099382,ST***-RUVN,2022年里约热内卢锦标赛挑战组亲笔签名胶囊,印花 | Magisk | 2022年里约热内卢锦标赛,1672099382
2022-12-27 00:03:05,1672099385,AU***-AGNQ,伽玛武器箱,P250 | 铠甲,1672099385
2022-12-27 00:03:07,1672099387,S2***-LHTA,梦魇武器箱,MP5-SD | 小小噩梦,1672099387
2022-12-27 00:03:07,1672099387,AU***-AGNQ,伽玛武器箱,FN57 | 霸意大名,1672099387
2022-12-27 00:03:08,1672099388,SY***-LWNN,反冲武器箱,SG 553 | 青龙,1672099388
2022-12-27 00:03:09,1672099389,AU***-AGNQ,伽玛武器箱,P250 | 铠甲,1672099389
2022-12-27 00:03:10,1672099390,AY***-RJFC,反冲武器箱,格洛克 18 型 | 冬季战术,1672099390
2022-12-27 00:03:11,1672099391,SW***-QCZQ,蛇噬武器箱,AK-47 | 墨岩,1672099391
2022-12-27 00:03:12,1672099392,AU***-AGNQ,伽玛武器箱,Tec-9 | 冰冠,1672099392
2022-12-27 00:03:14,1672099394,A4***-36SE,光环胶囊,印花 | 灭绝,1672099394
2022-12-27 00:03:14,1672099394,AN***-YLHQ,“激流大行动”武器箱,双持贝瑞塔 | 胶面花纹,1672099394
2022-12-27 00:03:15,1672099395,AU***-AGNQ,伽玛武器箱,SG 553（StatTrak™） | 轻空,1672099395
2022-12-27 00:03:17,1672099397,AU***-AGNQ,伽玛武器箱,FN57 | 霸意大名,1672099397
2022-12-27 00:03:17,1672099397,AY***-RJFC,蛇噬武器箱,UMP-45 | 动摇,1672099397
2022-12-27 00:03:19,1672099399,AU***-AGNQ,伽玛武器箱,MAC-10 | 捕猎者,1672099399
2022-12-27 00:03:22,1672099402,SY***-LWNN,反冲武器箱,MAC-10 | 萌猴迷彩,1672099402
2022-12-27 00:03:22,1672099402,AU***-AGNQ,伽玛武器箱,SG 553 | 轻空,1672099402
2022-12-27 00:03:24,1672099404,AC***-7ZSC,2022年里约热内卢锦标赛传奇组亲笔签名胶囊,印花 | sjuush（闪耀）| 2022年里约热内卢锦标赛,1672099404
2022-12-27 00:03:25,1672099405,AY***-RJFC,命悬一线武器箱,FN57 | 焰色反应,1672099405
2022-12-27 00:03:25,1672099405,AU***-AGNQ,伽玛武器箱,AUG（StatTrak™） | 贵族,1672099405
2022-12-27 00:03:25,1672099405,A4***-S6EL,反冲武器箱,UMP-45 | 路障,1672099405
2022-12-27 00:03:26,1672099406,SE***-8ECC,梦魇武器箱,MP5-SD | 小小噩梦,1672099406
2022-12-27 00:03:26,1672099406,AN***-YLHQ,“激流大行动”武器箱,AUG | 瘟疫,1672099406
2022-12-27 00:03:27,1672099407,AU***-AGNQ,伽玛武器箱,SG 553 | 轻空,1672099407
