datetime,timestamp,user,src,out,time
2023-01-25 00:01:34,1674604894,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | FURIA（闪耀）| 2022年里约热内卢锦标赛,1674604894
2023-01-25 00:01:34,1674604894,SA***-BXRL,“狂牙大行动”武器箱,加利尔 AR | 破坏者,1674604894
2023-01-25 00:01:35,1674604895,SL***-V4GE,蛇噬武器箱,R8 左轮手枪 | 废物王,1674604895
2023-01-25 00:01:39,1674604899,SE***-FJUQ,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | Natus Vincere | 2022年里约热内卢锦标赛,1674604899
2023-01-25 00:01:40,1674604900,SG***-S8GL,命悬一线武器箱,PP-野牛 | 黑夜暴乱,1674604900
2023-01-25 00:01:41,1674604901,SL***-V4GE,蛇噬武器箱,UMP-45 | 动摇,1674604901
2023-01-25 00:01:42,1674604902,AQ***-XBFN,棱彩2号武器箱,AWP | 毛细血管,1674604902
2023-01-25 00:01:42,1674604902,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | ZywOo | 2022年安特卫普锦标赛,1674604902
2023-01-25 00:01:43,1674604903,SE***-FJUQ,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | ENCE | 2022年里约热内卢锦标赛,1674604903
2023-01-25 00:01:44,1674604904,AX***-YDFN,光谱 2 号武器箱,AUG | 三角战术,1674604904
2023-01-25 00:01:44,1674604904,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | IEM | 2022年里约热内卢锦标赛,1674604904
2023-01-25 00:01:47,1674604907,SL***-V4GE,蛇噬武器箱,新星（StatTrak™） | 随风,1674604907
2023-01-25 00:01:47,1674604907,SE***-FJUQ,2022年里约热内卢锦标赛传奇组印花胶囊,印花 | IEM | 2022年里约热内卢锦标赛,1674604907
2023-01-25 00:01:48,1674604908,SA***-BXRL,伽玛武器箱,Tec-9 | 冰冠,1674604908
2023-01-25 00:01:50,1674604910,S9***-8VUJ,裂空武器箱,PP-野牛 | 神秘碑文,1674604910
2023-01-25 00:01:51,1674604911,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | zorte | 2022年安特卫普锦标赛,1674604911
2023-01-25 00:01:52,1674604912,S2***-6VUC,“野火大行动”武器箱,双持贝瑞塔 | 卡特尔,1674604912
2023-01-25 00:01:52,1674604912,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Outsiders（闪耀）| 2022年里约热内卢锦标赛,1674604912
2023-01-25 00:01:52,1674604912,SL***-V4GE,蛇噬武器箱,格洛克 18 型 | 一目了然,1674604912
2023-01-25 00:01:53,1674604913,SG***-S8GL,命悬一线武器箱,XM1014 | 锈蚀烈焰,1674604913
2023-01-25 00:01:55,1674604915,AQ***-XBFN,棱彩2号武器箱,CZ75 | 做旧手艺,1674604915
2023-01-25 00:01:55,1674604915,SX***-CMUN,裂空武器箱,P250 | 卡带,1674604915
2023-01-25 00:01:57,1674604917,AX***-YDFN,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1674604917
2023-01-25 00:01:58,1674604918,SL***-V4GE,蛇噬武器箱,CZ75 | 短趾雕,1674604918
2023-01-25 00:01:59,1674604919,SS***-AVYE,命悬一线武器箱,P2000 | 都市危机,1674604919
2023-01-25 00:02:00,1674604920,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | Norwi | 2022年安特卫普锦标赛,1674604920
2023-01-25 00:02:01,1674604921,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Outsiders | 2022年里约热内卢锦标赛,1674604921
2023-01-25 00:02:01,1674604921,SA***-BXRL,“狂牙大行动”武器箱,P250 | 污染物,1674604921
2023-01-25 00:02:03,1674604923,SL***-V4GE,蛇噬武器箱,CZ75 | 短趾雕,1674604923
2023-01-25 00:02:05,1674604925,AT***-RXGG,命悬一线武器箱,XM1014 | 锈蚀烈焰,1674604925
2023-01-25 00:02:05,1674604925,SG***-S8GL,命悬一线武器箱,UMP-45 | 白狼,1674604925
2023-01-25 00:02:07,1674604927,AQ***-XBFN,棱彩2号武器箱,内格夫 | 原型机,1674604927
2023-01-25 00:02:09,1674604929,SL***-V4GE,蛇噬武器箱,CZ75 | 短趾雕,1674604929
2023-01-25 00:02:09,1674604929,AX***-YDFN,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1674604929
2023-01-25 00:02:10,1674604930,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | IHC Esports | 2022年里约热内卢锦标赛,1674604930
2023-01-25 00:02:10,1674604930,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | JaCkz | 2022年安特卫普锦标赛,1674604930
2023-01-25 00:02:12,1674604932,AM***-J4YA,CS:GO 10周年印花胶囊,印花 | 蓝钻（闪耀）,1674604932
2023-01-25 00:02:15,1674604935,SL***-V4GE,蛇噬武器箱,格洛克 18 型 | 一目了然,1674604935
2023-01-25 00:02:16,1674604936,SA***-BXRL,“狂牙大行动”武器箱,加利尔 AR（StatTrak™） | 破坏者,1674604936
2023-01-25 00:02:17,1674604937,SF***-6RUE,命悬一线武器箱,XM1014 | 锈蚀烈焰,1674604937
2023-01-25 00:02:18,1674604938,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | IEM | 2022年里约热内卢锦标赛,1674604938
2023-01-25 00:02:18,1674604938,SG***-S8GL,命悬一线武器箱,P2000 | 都市危机,1674604938
2023-01-25 00:02:20,1674604940,AQ***-XBFN,棱彩2号武器箱,内格夫 | 原型机,1674604940
2023-01-25 00:02:20,1674604940,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | k0nfig | 2022年安特卫普锦标赛,1674604940
2023-01-25 00:02:20,1674604940,SL***-V4GE,蛇噬武器箱,SG 553 | 重金属摇滚,1674604940
2023-01-25 00:02:21,1674604941,SB***-XLVJ,2022年里约热内卢锦标赛挑战组印花胶囊,印花 | OG | 2022年里约热内卢锦标赛,1674604941
2023-01-25 00:02:22,1674604942,AX***-YDFN,光谱 2 号武器箱,XM1014 | 五彩斑驳,1674604942
2023-01-25 00:02:25,1674604945,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Grayhound Gaming | 2022年里约热内卢锦标赛,1674604945
2023-01-25 00:02:26,1674604946,AN***-YLHQ,梦魇武器箱,截短霰弹枪 | 灵应牌,1674604946
2023-01-25 00:02:27,1674604947,AG***-Y4BN,2022年里约热内卢锦标赛冠军亲笔签名胶囊,印花 | qikert（冠军）| 2022年里约热内卢锦标赛,1674604947
2023-01-25 00:02:30,1674604950,SA***-BXRL,“狂牙大行动”武器箱,双持贝瑞塔 | 灾难,1674604950
2023-01-25 00:02:30,1674604950,SG***-S8GL,命悬一线武器箱,SG 553 | 阿罗哈,1674604950
2023-01-25 00:02:31,1674604951,SL***-V4GE,蛇噬武器箱,UMP-45 | 动摇,1674604951
2023-01-25 00:02:31,1674604951,A5***-AVVQ,2022年里约热内卢锦标赛挑战组印花胶囊,印花 | BIG | 2022年里约热内卢锦标赛,1674604951
2023-01-25 00:02:32,1674604952,AQ***-XBFN,棱彩2号武器箱,沙漠之鹰 | 蓝色层压板,1674604952
2023-01-25 00:02:34,1674604954,SF***-6RUE,蛇噬武器箱,新星 | 随风,1674604954
2023-01-25 00:02:34,1674604954,AX***-YDFN,光谱 2 号武器箱,截短霰弹枪 | 夜百合,1674604954
2023-01-25 00:02:36,1674604956,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | IHC Esports | 2022年里约热内卢锦标赛,1674604956
2023-01-25 00:02:36,1674604956,SL***-V4GE,蛇噬武器箱,新星 | 随风,1674604956
2023-01-25 00:02:37,1674604957,SB***-XLVJ,2022年里约热内卢锦标赛挑战组印花胶囊,印花 | Cloud9（闪耀）| 2022年里约热内卢锦标赛,1674604957
2023-01-25 00:02:38,1674604958,AN***-YLHQ,梦魇武器箱,SCAR-20 | 暗夜活死鸡,1674604958
2023-01-25 00:02:41,1674604961,AQ***-SEAG,手套武器箱,CZ75 | 聚合物,1674604961
2023-01-25 00:02:42,1674604962,SL***-V4GE,蛇噬武器箱,M249 | O.S.I.P.R.,1674604962
2023-01-25 00:02:42,1674604962,A5***-AVVQ,2022年里约热内卢锦标赛挑战组印花胶囊,印花 | Vitality（闪耀）| 2022年里约热内卢锦标赛,1674604962
2023-01-25 00:02:43,1674604963,SP***-E7EJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | WOOD7（闪耀） | 2022年安特卫普锦标赛,1674604963
2023-01-25 00:02:43,1674604963,SG***-S8GL,命悬一线武器箱,R8 左轮手枪 | 稳,1674604963
2023-01-25 00:02:45,1674604965,AQ***-XBFN,棱彩2号武器箱,截短霰弹枪 | 启示录,1674604965
2023-01-25 00:02:46,1674604966,SA***-BXRL,“狂牙大行动”武器箱,SSG 08（StatTrak™） | 抖枪,1674604966
2023-01-25 00:02:47,1674604967,AX***-YDFN,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1674604967
2023-01-25 00:02:48,1674604968,SM***-YDAQ,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Imperial Esports（全息）| 2022年里约热内卢锦标赛,1674604968
