datetime,timestamp,user,src,out,time
2023-01-16 00:00:00,1673827200,SJ***-SQEE,光谱 2 号武器箱,格洛克 18 型 | 异星世界,1673827200
2023-01-16 00:00:07,1673827207,SH***-AZTN,棱彩武器箱,MAC-10 | 白鲑鱼,1673827207
2023-01-16 00:00:08,1673827208,AU***-JPSC,蛇噬武器箱,CZ75 | 短趾雕,1673827208
2023-01-16 00:00:12,1673827212,AY***-H8SE,蛇噬武器箱,CZ75 | 短趾雕,1673827212
2023-01-16 00:00:13,1673827213,A4***-7ZPJ,梦魇武器箱,FN57 | 涂鸦潦草,1673827213
2023-01-16 00:00:20,1673827220,S2***-W2WE,地平线武器箱,MP9 | 毛细血管,1673827220
2023-01-16 00:00:21,1673827221,SJ***-SQEE,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1673827221
2023-01-16 00:00:26,1673827226,AY***-H8SE,蛇噬武器箱,M249 | O.S.I.P.R.,1673827226
2023-01-16 00:00:29,1673827229,A6***-R7ZQ,“九头蛇大行动”武器箱,USP 消音版 | 蓝图,1673827229
2023-01-16 00:00:32,1673827232,AU***-JPSC,蛇噬武器箱,UMP-45 | 动摇,1673827232
2023-01-16 00:00:37,1673827237,SJ***-SQEE,光谱 2 号武器箱,SG 553 | 幻影,1673827237
2023-01-16 00:00:38,1673827238,A4***-7ZPJ,梦魇武器箱,MAC-10 | 坐牢,1673827238
2023-01-16 00:00:45,1673827245,SH***-AZTN,棱彩武器箱,MAC-10 | 白鲑鱼,1673827245
2023-01-16 00:00:46,1673827246,A6***-R7ZQ,冬季攻势武器箱,M4A4 | 二西莫夫,1673827246
2023-01-16 00:00:49,1673827249,AU***-JPSC,蛇噬武器箱,USP 消音版（StatTrak™） | 倒吊人,1673827249
2023-01-16 00:00:50,1673827250,SJ***-SQEE,光谱 2 号武器箱,UMP-45 | 曝光,1673827250
2023-01-16 00:01:04,1673827264,SJ***-SQEE,光谱 2 号武器箱,截短霰弹枪 | 夜百合,1673827264
2023-01-16 00:01:04,1673827264,SH***-AZTN,棱彩武器箱,P250（StatTrak™） | 铜绿,1673827264
2023-01-16 00:01:16,1673827276,AH***-7YCQ,命悬一线武器箱,M4A4 | 黑色魅影,1673827276
2023-01-16 00:01:18,1673827278,SJ***-SQEE,光谱 2 号武器箱,MAC-10 | 海洋,1673827278
2023-01-16 00:01:20,1673827280,SL***-DBEQ,命悬一线武器箱,MP9 | 黑砂,1673827280
2023-01-16 00:01:23,1673827283,AU***-JPSC,蛇噬武器箱,沙漠之鹰 | 后发制人,1673827283
2023-01-16 00:01:34,1673827294,SJ***-SQEE,光谱 2 号武器箱,SG 553 | 幻影,1673827294
2023-01-16 00:01:37,1673827297,SL***-DBEQ,命悬一线武器箱,SG 553 | 阿罗哈,1673827297
2023-01-16 00:01:45,1673827305,SH***-AZTN,棱彩武器箱,UMP-45 | 城里的月光,1673827305
2023-01-16 00:01:48,1673827308,SJ***-SQEE,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1673827308
2023-01-16 00:01:58,1673827318,SL***-DBEQ,命悬一线武器箱,MP9 | 黑砂,1673827318
