datetime,timestamp,user,src,out,time
2020-09-09 00:05:57,1599609957,45488,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1599609957
2020-09-09 00:05:57,1599609957,318297,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1599609957
2020-09-09 00:05:56,1599609956,221714,命悬—线武器箱,SG 553 | 阿罗哈,1599609956
2020-09-09 00:05:53,1599609953,288222,命悬—线武器箱,MP9（StatTrak™） | 黑砂,1599609953
2020-09-09 00:05:50,1599609950,208237,裂空武器箱,P250 | 卡带,1599609950
2020-09-09 00:05:46,1599609946,221714,命悬—线武器箱,R8 左轮手枪 | 稳,1599609946
2020-09-09 00:05:44,1599609944,45488,“头号特训”武器箱,Tec-9 | 破铜烂铁,1599609944
2020-09-09 00:05:43,1599609943,361551,CS:GO布章包,布章 | 头号特训,1599609943
2020-09-09 00:05:42,1599609942,288222,命悬—线武器箱,SG 553（StatTrak™） | 阿罗哈,1599609942
2020-09-09 00:05:38,1599609938,115,决策大师音乐盒集,音乐盒 | Daniel Sadowski — 巨龙之眼,1599609938
2020-09-09 00:05:37,1599609937,314495,棱彩2号武器箱,沙漠之鹰 | 蓝色层压板,1599609937
2020-09-09 00:05:37,1599609937,288222,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1599609937
2020-09-09 00:05:34,1599609934,221714,命悬—线武器箱,R8 左轮手枪 | 稳,1599609934
2020-09-09 00:05:33,1599609933,91046,棱彩武器箱,P90 | 异星世界,1599609933
2020-09-09 00:05:31,1599609931,45488,“头号特训”武器箱,截短霰弹枪 | 黑砂,1599609931
2020-09-09 00:05:30,1599609930,288222,命悬—线武器箱,MP9 | 黑砂,1599609930
2020-09-09 00:05:28,1599609928,208237,裂空武器箱,P2000 | 盘根错节,1599609928
2020-09-09 00:05:26,1599609926,169505,地平线武器箱,R8 左轮手枪（StatTrak™） | 生存主义者,1599609926
2020-09-09 00:05:23,1599609923,221714,命悬—线武器箱,P2000 | 都市危机,1599609923
2020-09-09 00:05:15,1599609915,195756,段位印花胶囊,印花 | 全球精英,1599609915
2020-09-09 00:05:13,1599609913,208237,裂空武器箱,P2000 | 盘根错节,1599609913
2020-09-09 00:05:12,1599609912,288222,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1599609912
2020-09-09 00:05:12,1599609912,221714,命悬—线武器箱,R8 左轮手枪 | 稳,1599609912
2020-09-09 00:05:06,1599609906,117061,“头号特训”武器箱,M4A4 | 镁元素,1599609906
2020-09-09 00:05:02,1599609902,288222,命悬—线武器箱,FN57 | 焰色反应,1599609902
2020-09-09 00:05:01,1599609901,384536,反恐精英20周年印花胶囊,印花 | 阿兹特克,1599609901
2020-09-09 00:05:00,1599609900,208237,裂空武器箱,内格夫 | 飞羽,1599609900
2020-09-09 00:04:59,1599609899,221714,命悬—线武器箱,R8 左轮手枪 | 稳,1599609899
2020-09-09 00:04:58,1599609898,91046,棱彩武器箱,MAC-10（StatTrak™） | 白鲑鱼,1599609898
2020-09-09 00:04:54,1599609894,119483,裂空武器箱,MAC-10（StatTrak™） | 魅惑,1599609894
2020-09-09 00:04:51,1599609891,45488,“头号特训”武器箱,SG 553 | 危险距离,1599609891
2020-09-09 00:04:50,1599609890,193902,棱彩2号武器箱,MP5-SD | 沙漠精英,1599609890
2020-09-09 00:04:50,1599609890,288222,命悬—线武器箱,MP9 | 黑砂,1599609890
2020-09-09 00:04:50,1599609890,384536,反恐精英20周年印花胶囊,印花 | 滑翔高手,1599609890
2020-09-09 00:04:48,1599609888,135253,命悬—线武器箱,UMP-45 | 白狼,1599609888
