datetime,timestamp,user,src,out,time
2020-08-21 00:06:01,1597968361,104550,Fracture Case,SG 553 | Ol' Rusty,1597968361
2020-08-21 00:06:01,1597968361,298909,光谱 2 号武器箱,MAC-10 | 海洋,1597968361
2020-08-21 00:05:58,1597968358,133924,“头号特训”武器箱,P250 | 影魔,1597968358
2020-08-21 00:05:55,1597968355,366462,“头号特训”武器箱,SG 553 | 危险距离,1597968355
2020-08-21 00:05:54,1597968354,299833,命悬—线武器箱,SG 553 | 阿罗哈,1597968354
2020-08-21 00:05:52,1597968352,343500,反恐精英20周年武器箱,SCAR-20（StatTrak™） | 仓库突击,1597968352
2020-08-21 00:05:52,1597968352,230277,伽玛武器箱,SG 553 | 轻空,1597968352
2020-08-21 00:05:52,1597968352,111873,手套武器箱,加利尔 AR | 黑砂,1597968352
2020-08-21 00:05:51,1597968351,163691,“突围大行动”武器箱,MP7 | 都市危机,1597968351
2020-08-21 00:05:49,1597968349,240189,“头号特训”武器箱,新星 | 灼木,1597968349
2020-08-21 00:05:48,1597968348,299833,命悬—线武器箱,XM1014 | 锈蚀烈焰,1597968348
2020-08-21 00:05:46,1597968346,183342,命悬—线武器箱,R8 左轮手枪 | 稳,1597968346
2020-08-21 00:05:37,1597968337,230277,伽玛武器箱,P90 | 夺命器,1597968337
2020-08-21 00:05:37,1597968337,111873,手套武器箱,MP9 | 砂垢,1597968337
2020-08-21 00:05:27,1597968327,111873,手套武器箱,格洛克 18 型（StatTrak™） | 铁之作,1597968327
2020-08-21 00:05:26,1597968326,230277,伽玛武器箱,PP-野牛 | 收割机,1597968326
2020-08-21 00:05:24,1597968324,32990,“头号特训”武器箱,USP 消音版 | 闪回,1597968324
2020-08-21 00:05:21,1597968321,148362,地平线武器箱,双持贝瑞塔 | 碎片,1597968321
2020-08-21 00:05:19,1597968319,12342,Fracture Case,AK-47 | Legion of Anubis,1597968319
2020-08-21 00:05:18,1597968318,111873,手套武器箱,加利尔 AR | 黑砂,1597968318
2020-08-21 00:05:17,1597968317,230277,伽玛武器箱,FN57 | 霸意大名,1597968317
2020-08-21 00:05:14,1597968314,150314,StatTrak™ 决策大师音乐盒集,音乐盒（StatTrak™） | Sam Marshall — 大胆尝试,1597968314
2020-08-21 00:05:09,1597968309,111873,手套武器箱,MP9 | 砂垢,1597968309
2020-08-21 00:05:08,1597968308,343500,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1597968308
2020-08-21 00:05:05,1597968305,230277,伽玛武器箱,Tec-9 | 冰冠,1597968305
2020-08-21 00:05:03,1597968303,218564,光谱武器箱,FN57 | 毛细血管,1597968303
2020-08-21 00:05:01,1597968301,12342,Fracture Case,内格夫（StatTrak™） | Ultralight,1597968301
2020-08-21 00:05:01,1597968301,78279,地平线武器箱,CZ75 | 经济,1597968301
2020-08-21 00:05:01,1597968301,111873,手套武器箱,加利尔 AR | 黑砂,1597968301
2020-08-21 00:04:59,1597968299,271076,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1597968299
2020-08-21 00:04:57,1597968297,382052,命悬—线武器箱,XM1014 | 锈蚀烈焰,1597968297
2020-08-21 00:04:53,1597968293,211732,反恐精英20周年武器箱,P90 | 往日行动,1597968293
2020-08-21 00:04:52,1597968292,230277,伽玛武器箱,MAC-10 | 捕猎者,1597968292
2020-08-21 00:04:50,1597968290,111873,手套武器箱,P90 | 浅坟,1597968290
2020-08-21 00:04:46,1597968286,299833,命悬—线武器箱,SG 553 | 阿罗哈,1597968286
2020-08-21 00:04:40,1597968280,111873,手套武器箱,加利尔 AR | 黑砂,1597968280
