datetime,timestamp,user,src,out,time
2020-08-14 00:12:53,1597363973,358974,Fracture Case,PP-野牛 | Runic,1597363973
2020-08-14 00:12:52,1597363972,248343,命悬—线武器箱,SG 553 | 阿罗哈,1597363972
2020-08-14 00:12:51,1597363971,68585,反恐精英武器箱,SG 553 | 致命紫罗兰,1597363971
2020-08-14 00:12:49,1597363969,220715,CS:GO布章包,布章 | 野火,1597363969
2020-08-14 00:12:46,1597363966,123963,光谱 2 号武器箱,G3SG1（StatTrak™） | 猎人,1597363966
2020-08-14 00:12:46,1597363966,229060,手套武器箱,P2000 | 草皮,1597363966
2020-08-14 00:12:40,1597363960,248343,命悬—线武器箱,FN57 | 焰色反应,1597363960
2020-08-14 00:12:34,1597363954,44215,手套武器箱,MP9 | 砂垢,1597363954
2020-08-14 00:12:27,1597363947,248343,命悬—线武器箱,R8 左轮手枪 | 稳,1597363947
2020-08-14 00:12:26,1597363946,148861,手套武器箱,MP9（StatTrak™） | 砂垢,1597363946
2020-08-14 00:12:23,1597363943,221665,Fracture Case,内格夫 | Ultralight,1597363943
2020-08-14 00:12:23,1597363943,354847,光谱 2 号武器箱,MAC-10（StatTrak™） | 海洋,1597363943
2020-08-14 00:12:19,1597363939,134509,“头号特训”武器箱,Tec-9（StatTrak™） | 破铜烂铁,1597363939
2020-08-14 00:12:16,1597363936,248343,命悬—线武器箱,MP9 | 黑砂,1597363936
2020-08-14 00:12:04,1597363924,148861,光谱武器箱,FN57 | 毛细血管,1597363924
2020-08-14 00:11:54,1597363914,101178,光谱武器箱,SCAR-20 | 蓝图,1597363914
2020-08-14 00:11:54,1597363914,97960,命悬—线武器箱,新星 | 狂野六号,1597363914
2020-08-14 00:11:52,1597363912,123963,光谱 2 号武器箱,MAC-10 | 海洋,1597363912
2020-08-14 00:11:44,1597363904,354847,光谱 2 号武器箱,XM1014 | 五彩斑驳,1597363904
2020-08-14 00:11:39,1597363899,44215,手套武器箱,法玛斯 | 机械工业,1597363899
2020-08-14 00:11:36,1597363896,7967,地平线武器箱,新星 | 玩具士兵,1597363896
2020-08-14 00:11:35,1597363895,148861,命悬—线武器箱,P2000 | 都市危机,1597363895
2020-08-14 00:11:32,1597363892,362677,棱彩2号武器箱,AWP | 毛细血管,1597363892
2020-08-14 00:11:25,1597363885,33282,“头号特训”武器箱,M4A4 | 镁元素,1597363885
2020-08-14 00:11:23,1597363883,10128,“头号特训”武器箱,截短霰弹枪 | 黑砂,1597363883
2020-08-14 00:11:22,1597363882,92356,命悬—线武器箱,SG 553 | 阿罗哈,1597363882
2020-08-14 00:11:10,1597363870,33282,“头号特训”武器箱,MP9 | 中度威胁,1597363870
2020-08-14 00:11:08,1597363868,211326,棱彩2号武器箱,沙漠之鹰（StatTrak™） | 蓝色层压板,1597363868
2020-08-14 00:11:07,1597363867,92356,命悬—线武器箱,SG 553 | 阿罗哈,1597363867
2020-08-14 00:11:02,1597363862,140805,段位印花胶囊,印花 | 黄金新星,1597363862
2020-08-14 00:11:01,1597363861,22967,Fracture Case,P90 | Freight,1597363861
2020-08-14 00:11:01,1597363861,278873,棱彩2号武器箱,AUG | 汤姆猫,1597363861
2020-08-14 00:10:59,1597363859,217255,棱彩2号武器箱,R8 左轮手枪 | 骸骨锻造,1597363859
2020-08-14 00:10:58,1597363858,100959,光谱 2 号武器箱,MAC-10 | 海洋,1597363858
2020-08-14 00:10:57,1597363857,33282,“头号特训”武器箱,新星（StatTrak™） | 灼木,1597363857
2020-08-14 00:10:52,1597363852,354847,光谱 2 号武器箱,Tec-9 | 碎蛋白石,1597363852
2020-08-14 00:10:48,1597363848,275539,幻彩 3 号武器箱,双持贝瑞塔 | 通风机,1597363848
2020-08-14 00:10:48,1597363848,140805,反恐精英20周年印花胶囊,印花 | 友情密码,1597363848
2020-08-14 00:10:47,1597363847,116088,2019年柏林锦标赛冠军组亲笔签名胶囊,印花 | Golden | 2019年柏林锦标赛,1597363847
2020-08-14 00:10:47,1597363847,380772,命悬—线武器箱,新星 | 狂野六号,1597363847
2020-08-14 00:10:44,1597363844,33282,“头号特训”武器箱,SG 553 | 危险距离,1597363844
2020-08-14 00:10:41,1597363841,144389,命悬—线武器箱,MP9 | 黑砂,1597363841
2020-08-14 00:10:39,1597363839,123963,光谱 2 号武器箱,MAC-10 | 海洋,1597363839
2020-08-14 00:10:36,1597363836,374056,“头号特训”武器箱,新星 | 灼木,1597363836
2020-08-14 00:10:32,1597363832,62078,“头号特训”武器箱,M4A4 | 镁元素,1597363832
2020-08-14 00:10:32,1597363832,140805,反恐精英20周年印花胶囊,印花 | 核子野兽,1597363832
2020-08-14 00:10:31,1597363831,357562,命悬—线武器箱,MP9 | 黑砂,1597363831
2020-08-14 00:10:31,1597363831,33282,“头号特训”武器箱,新星 | 灼木,1597363831
2020-08-14 00:10:30,1597363830,106238,反恐精英20周年武器箱,双持贝瑞塔 | 1.6精英,1597363830
2020-08-14 00:10:29,1597363829,145734,命悬—线武器箱,XM1014 | 锈蚀烈焰,1597363829
2020-08-14 00:10:26,1597363826,158174,Fracture Case,P2000 | Gnarled,1597363826
2020-08-14 00:10:24,1597363824,130957,棱彩武器箱,沙漠之鹰 | 轻轨,1597363824
2020-08-14 00:10:18,1597363818,33282,“头号特训”武器箱,Tec-9 | 破铜烂铁,1597363818
2020-08-14 00:10:14,1597363814,140805,反恐精英20周年印花胶囊,印花 | 残局大师 (全息),1597363814
2020-08-14 00:10:11,1597363811,30724,“突围大行动”武器箱,UMP-45 | 迷之宫,1597363811
2020-08-14 00:10:05,1597363805,245441,命悬—线武器箱,新星 | 狂野六号,1597363805
2020-08-14 00:10:05,1597363805,33282,“头号特训”武器箱,M4A4 | 镁元素,1597363805
2020-08-14 00:10:02,1597363802,272950,棱彩武器箱,MAC-10 | 白鲑鱼,1597363802
2020-08-14 00:09:55,1597363795,140805,反恐精英20周年印花胶囊,印花 | 老当益壮,1597363795
2020-08-14 00:09:52,1597363792,33282,“头号特训”武器箱,UMP-45 | 动量,1597363792
2020-08-14 00:09:48,1597363788,217255,伽玛武器箱,MAC-10 | 捕猎者,1597363788
2020-08-14 00:09:41,1597363781,327852,左轮武器箱,AUG | 弹跳线条,1597363781
2020-08-14 00:09:39,1597363779,33282,“头号特训”武器箱,格洛克 18 型 | 锈蚀烈焰,1597363779
2020-08-14 00:09:39,1597363779,140805,反恐精英20周年印花胶囊,印花 | 像素复仇者,1597363779
2020-08-14 00:09:31,1597363771,22967,棱彩2号武器箱,截短霰弹枪（StatTrak™） | 启示录,1597363771
2020-08-14 00:09:28,1597363768,140805,反恐精英20周年印花胶囊,印花 | 别起下把买,1597363768
2020-08-14 00:09:23,1597363763,30724,“突围大行动”武器箱,内格夫 | 沙漠精英,1597363763
2020-08-14 00:09:17,1597363757,308839,Fracture Case,PP-野牛 | Runic,1597363757
2020-08-14 00:09:15,1597363755,91129,“头号特训”武器箱,加利尔 AR | 信号灯,1597363755
2020-08-14 00:09:12,1597363752,224065,“野火大行动”武器箱,MAC-10 | 青金鳄皮,1597363752
2020-08-14 00:09:11,1597363751,167270,Fracture Case,SG 553 | Ol' Rusty,1597363751
2020-08-14 00:09:11,1597363751,258186,Fracture Case,P2000 | Gnarled,1597363751
2020-08-14 00:09:11,1597363751,140805,反恐精英20周年印花胶囊,印花 | 周一无战事,1597363751
2020-08-14 00:09:09,1597363749,3017,反恐精英20周年武器箱,FN57 | 好兄弟,1597363749
2020-08-14 00:09:02,1597363742,21737,光谱 2 号武器箱,SCAR-20 | 丛林滑流,1597363742
2020-08-14 00:09:02,1597363742,86837,“头号特训”武器箱,UMP-45 | 动量,1597363742
2020-08-14 00:08:57,1597363737,100959,“头号特训”武器箱,加利尔 AR | 信号灯,1597363737
2020-08-14 00:08:56,1597363736,224065,“野火大行动”武器箱,SSG 08 | 通灵者,1597363736
2020-08-14 00:08:50,1597363730,21737,光谱 2 号武器箱,SG 553 | 幻影,1597363730
2020-08-14 00:08:47,1597363727,22511,棱彩2号武器箱,沙漠之鹰 | 蓝色层压板,1597363727
2020-08-14 00:08:43,1597363723,100959,“头号特训”武器箱,Tec-9 | 破铜烂铁,1597363723
2020-08-14 00:08:42,1597363722,224065,“野火大行动”武器箱,PP-野牛 | 透光区,1597363722
2020-08-14 00:08:39,1597363719,217255,“头号特训”武器箱,截短霰弹枪 | 黑砂,1597363719
2020-08-14 00:08:38,1597363718,55426,光谱武器箱,P250 | 涟漪,1597363718
2020-08-14 00:08:34,1597363714,140805,反恐精英20周年印花胶囊,印花 | 经典反恐精英20周年 (全息),1597363714
2020-08-14 00:08:29,1597363709,224065,“野火大行动”武器箱,法玛斯 | 元素轮廓,1597363709
2020-08-14 00:08:25,1597363705,350285,“头号特训”武器箱,格洛克 18 型 | 锈蚀烈焰,1597363705
2020-08-14 00:08:24,1597363704,47222,反恐精英20周年武器箱,双持贝瑞塔 | 1.6精英,1597363704
2020-08-14 00:08:21,1597363701,100959,左轮武器箱,AUG | 弹跳线条,1597363701
2020-08-14 00:08:20,1597363700,165004,棱彩武器箱,加利尔 AR | 战吼斑纹,1597363700
2020-08-14 00:08:20,1597363700,33282,“头号特训”武器箱,MP5-SD | 磷光体,1597363700
2020-08-14 00:08:15,1597363695,224065,“野火大行动”武器箱,USP 消音版（StatTrak™） | 铅管,1597363695
2020-08-14 00:08:12,1597363692,57936,命悬—线武器箱,XM1014 | 锈蚀烈焰,1597363692
2020-08-14 00:08:07,1597363687,33282,“头号特训”武器箱,格洛克 18 型 | 锈蚀烈焰,1597363687
2020-08-14 00:08:01,1597363681,100959,反恐精英20周年武器箱,SCAR-20 | 仓库突击,1597363681
2020-08-14 00:08:00,1597363680,224065,“野火大行动”武器箱,PP-野牛 | 透光区,1597363680
2020-08-14 00:07:57,1597363677,304388,命悬—线武器箱,SG 553 | 阿罗哈,1597363677
2020-08-14 00:07:54,1597363674,3017,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1597363674
2020-08-14 00:07:50,1597363670,145734,“头号特训”武器箱,M4A4 | 镁元素,1597363670
2020-08-14 00:07:48,1597363668,242365,Fracture Case,P90 | Freight,1597363668
2020-08-14 00:07:47,1597363667,110475,棱彩武器箱,法玛斯 | 保护色,1597363667
2020-08-14 00:07:45,1597363665,224065,“野火大行动”武器箱,双持贝瑞塔 | 卡特尔,1597363665
2020-08-14 00:07:38,1597363658,57936,命悬—线武器箱,MP9 | 黑砂,1597363658
2020-08-14 00:07:36,1597363656,145734,“头号特训”武器箱,截短霰弹枪 | 黑砂,1597363656
2020-08-14 00:07:28,1597363648,273128,反恐精英20周年武器箱,法玛斯 | 退役,1597363648
2020-08-14 00:07:25,1597363645,224065,“野火大行动”武器箱,格洛克 18 型（StatTrak™） | 皇家军团,1597363645
2020-08-14 00:07:24,1597363644,316751,“头号特训”武器箱,SG 553 | 危险距离,1597363644
2020-08-14 00:07:23,1597363643,145734,“头号特训”武器箱,格洛克 18 型 | 锈蚀烈焰,1597363643
2020-08-14 00:07:21,1597363641,350285,棱彩2号武器箱,内格夫 | 原型机,1597363641
2020-08-14 00:07:21,1597363641,510,命悬—线武器箱,XM1014 | 锈蚀烈焰,1597363641
2020-08-14 00:07:18,1597363638,91129,反恐精英20周年武器箱,M249 | 阿兹特克,1597363638
2020-08-14 00:07:14,1597363634,33282,“头号特训”武器箱,M4A4（StatTrak™） | 镁元素,1597363634
2020-08-14 00:07:13,1597363633,272950,“头号特训”武器箱,SG 553 | 危险距离,1597363633
2020-08-14 00:07:09,1597363629,224065,“野火大行动”武器箱,SSG 08 | 通灵者,1597363629
2020-08-14 00:07:07,1597363627,510,命悬—线武器箱,UMP-45 | 白狼,1597363627
2020-08-14 00:06:58,1597363618,33282,“头号特训”武器箱,P250 | 影魔,1597363618
2020-08-14 00:06:55,1597363615,161726,Fracture Case,P2000 | Gnarled,1597363615
2020-08-14 00:06:53,1597363613,249919,命悬—线武器箱,内格夫 | 狮子鱼,1597363613
2020-08-14 00:06:48,1597363608,224065,“野火大行动”武器箱,PP-野牛（StatTrak™） | 透光区,1597363608
2020-08-14 00:06:45,1597363605,33282,“头号特训”武器箱,M4A4 | 镁元素,1597363605
2020-08-14 00:06:45,1597363605,299447,棱彩武器箱,MP7 | 恶作剧,1597363605
2020-08-14 00:06:36,1597363596,179973,棱彩2号武器箱,CZ75 | 做旧手艺,1597363596
2020-08-14 00:06:36,1597363596,304388,棱彩武器箱,法玛斯 | 保护色,1597363596
2020-08-14 00:06:34,1597363594,224065,“野火大行动”武器箱,Tec-9 | 贾姆比亚,1597363594
2020-08-14 00:06:33,1597363593,33282,“头号特训”武器箱,Tec-9 | 破铜烂铁,1597363593
2020-08-14 00:06:30,1597363590,316751,“头号特训”武器箱,Tec-9 | 破铜烂铁,1597363590
2020-08-14 00:06:20,1597363580,33282,“头号特训”武器箱,新星 | 灼木,1597363580
2020-08-14 00:06:19,1597363579,224065,“野火大行动”武器箱,Tec-9 | 贾姆比亚,1597363579
2020-08-14 00:06:17,1597363577,296071,命悬—线武器箱,FN57 | 焰色反应,1597363577
2020-08-14 00:06:15,1597363575,3017,棱彩武器箱,法玛斯 | 保护色,1597363575
2020-08-14 00:06:09,1597363569,217566,Fracture Case,SG 553 | Ol' Rusty,1597363569
2020-08-14 00:06:07,1597363567,33282,“头号特训”武器箱,格洛克 18 型 | 锈蚀烈焰,1597363567
