datetime,timestamp,user,src,out,time
2020-08-08 00:13:49,1596845629,136826,棱彩2号武器箱,MP5-SD（StatTrak™） | 沙漠精英,1596845629
2020-08-08 00:13:49,1596845629,13607,命悬—线武器箱,MP9 | 黑砂,1596845629
2020-08-08 00:13:48,1596845628,107060,“突围大行动”武器箱,SSG 08 | 无尽深海,1596845628
2020-08-08 00:13:46,1596845626,266863,反恐精英20周年武器箱,MP5-SD（StatTrak™） | 探员,1596845626
2020-08-08 00:13:45,1596845625,107060,“突围大行动”武器箱,UMP-45 | 迷之宫,1596845625
2020-08-08 00:13:44,1596845624,220350,棱彩2号武器箱,R8 左轮手枪 | 骸骨锻造,1596845624
2020-08-08 00:13:44,1596845624,243163,命悬—线武器箱,XM1014 | 锈蚀烈焰,1596845624
2020-08-08 00:13:42,1596845622,151562,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596845622
2020-08-08 00:13:42,1596845622,157973,“头号特训”武器箱,新星 | 灼木,1596845622
2020-08-08 00:13:35,1596845615,13607,命悬—线武器箱,MP9 | 黑砂,1596845615
2020-08-08 00:13:35,1596845615,259541,伽玛 2 号武器箱,MAG-7 | 石雕,1596845615
2020-08-08 00:13:34,1596845614,107060,“突围大行动”武器箱,P2000 | 乳白象牙,1596845614
2020-08-08 00:13:29,1596845609,124992,左轮武器箱,M4A4 | 皇家圣骑士,1596845609
2020-08-08 00:13:27,1596845607,220350,棱彩2号武器箱,CZ75 | 做旧手艺,1596845607
2020-08-08 00:13:26,1596845606,364311,反恐精英20周年武器箱,法玛斯 | 退役,1596845606
2020-08-08 00:13:22,1596845602,107060,“突围大行动”武器箱,P2000 | 乳白象牙,1596845602
2020-08-08 00:13:22,1596845602,371942,暗影武器箱,M249 | 星云十字军,1596845602
2020-08-08 00:13:20,1596845600,266863,反恐精英20周年武器箱,MAG-7 | 碰碰狗,1596845600
2020-08-08 00:13:19,1596845599,318491,光谱 2 号武器箱,MAC-10 | 海洋,1596845599
2020-08-08 00:13:11,1596845591,124992,棱彩2号武器箱,SSG 08 | 浮生如梦,1596845591
2020-08-08 00:13:07,1596845587,371942,暗影武器箱,MAC-10（StatTrak™） | 冉吉,1596845587
2020-08-08 00:13:05,1596845585,157973,“头号特训”武器箱,AWP | 黑色魅影,1596845585
2020-08-08 00:13:02,1596845582,318491,光谱 2 号武器箱,SG 553 | 幻影,1596845582
2020-08-08 00:13:00,1596845580,220350,棱彩2号武器箱,CZ75 | 做旧手艺,1596845580
2020-08-08 00:12:56,1596845576,124992,命悬—线武器箱,XM1014 | 锈蚀烈焰,1596845576
2020-08-08 00:12:54,1596845574,2500,“头号特训”武器箱,截短霰弹枪 | 黑砂,1596845574
2020-08-08 00:12:53,1596845573,335883,糖果脸谱胶囊,印花 | 斯坦,1596845573
2020-08-08 00:12:44,1596845564,358056,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1596845564
2020-08-08 00:12:43,1596845563,220350,棱彩2号武器箱,P2000（StatTrak™） | 酸蚀,1596845563
2020-08-08 00:12:40,1596845560,152480,棱彩武器箱,AWP | 树蝰,1596845560
2020-08-08 00:12:39,1596845559,335883,动物寓言胶囊,印花 | 凤凰重生,1596845559
2020-08-08 00:12:34,1596845554,78949,Fracture Case,内格夫 | Ultralight,1596845554
2020-08-08 00:12:34,1596845554,7389,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1596845554
2020-08-08 00:12:28,1596845548,220350,棱彩2号武器箱,AWP | 毛细血管,1596845548
2020-08-08 00:12:22,1596845542,243163,地平线武器箱,双持贝瑞塔 | 碎片,1596845542
2020-08-08 00:12:20,1596845540,318491,反恐精英20周年武器箱,双持贝瑞塔 | 1.6精英,1596845540
2020-08-08 00:12:19,1596845539,368656,棱彩武器箱,法玛斯（StatTrak™） | 保护色,1596845539
2020-08-08 00:12:18,1596845538,214150,Fracture Case,PP-野牛 | Runic,1596845538
2020-08-08 00:12:16,1596845536,72626,光环胶囊,印花 | 焚化 (全息),1596845536
2020-08-08 00:12:16,1596845536,220350,棱彩2号武器箱,沙漠之鹰 | 蓝色层压板,1596845536
2020-08-08 00:12:14,1596845534,271361,棱彩2号武器箱,CZ75 | 做旧手艺,1596845534
2020-08-08 00:12:12,1596845532,315279,“裂网大行动”武器箱,双持贝瑞塔 | 左右开花,1596845532
2020-08-08 00:12:07,1596845527,91309,棱彩2号武器箱,R8 左轮手枪 | 骸骨锻造,1596845527
2020-08-08 00:12:07,1596845527,220813,“头号特训”武器箱,截短霰弹枪 | 黑砂,1596845527
2020-08-08 00:12:05,1596845525,157973,“头号特训”武器箱,MP9 | 中度威胁,1596845525
2020-08-08 00:12:02,1596845522,220350,棱彩2号武器箱,R8 左轮手枪 | 骸骨锻造,1596845522
2020-08-08 00:12:00,1596845520,91309,棱彩2号武器箱,AWP | 毛细血管,1596845520
2020-08-08 00:12:00,1596845520,124992,幻彩 3 号武器箱,M249 | 鬼影,1596845520
2020-08-08 00:11:57,1596845517,335067,命悬—线武器箱,R8 左轮手枪 | 稳,1596845517
2020-08-08 00:11:56,1596845516,291018,“野火大行动”武器箱,USP 消音版 | 铅管,1596845516
2020-08-08 00:11:55,1596845515,311299,伽玛武器箱,Tec-9（StatTrak™） | 冰冠,1596845515
2020-08-08 00:11:53,1596845513,318491,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1596845513
2020-08-08 00:11:51,1596845511,306858,命悬—线武器箱,SG 553 | 阿罗哈,1596845511
2020-08-08 00:11:50,1596845510,334299,反恐精英20周年印花胶囊,印花 | 周一无战事,1596845510
2020-08-08 00:11:49,1596845509,223035,命悬—线武器箱,XM1014 | 锈蚀烈焰,1596845509
2020-08-08 00:11:48,1596845508,220350,棱彩2号武器箱,沙漠之鹰 | 蓝色层压板,1596845508
2020-08-08 00:11:47,1596845507,86175,段位印花胶囊,印花 | 白银,1596845507
2020-08-08 00:11:37,1596845497,223035,命悬—线武器箱,内格夫（StatTrak™） | 狮子鱼,1596845497
2020-08-08 00:11:36,1596845496,318491,反恐精英20周年武器箱,MAC-10 | 板条箱,1596845496
2020-08-08 00:11:34,1596845494,110132,段位印花胶囊,印花 | 全球精英,1596845494
2020-08-08 00:11:34,1596845494,220350,棱彩2号武器箱,内格夫 | 原型机,1596845494
2020-08-08 00:11:30,1596845490,36423,Fracture Case,SG 553 | Ol' Rusty,1596845490
2020-08-08 00:11:29,1596845489,209987,Slid3 胶囊,印花 | 鸡生苦短,1596845489
2020-08-08 00:11:28,1596845488,124992,光谱 2 号武器箱,AUG（StatTrak™） | 三角战术,1596845488
2020-08-08 00:11:26,1596845486,68008,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596845486
2020-08-08 00:11:25,1596845485,335505,“头号特训”武器箱,Tec-9 | 破铜烂铁,1596845485
2020-08-08 00:11:20,1596845480,220350,棱彩2号武器箱,CZ75 | 做旧手艺,1596845480
2020-08-08 00:11:18,1596845478,263978,“头号特训”武器箱,G3SG1（StatTrak™） | 净化者,1596845478
2020-08-08 00:11:17,1596845477,36423,Fracture Case,SG 553 | Ol' Rusty,1596845477
2020-08-08 00:11:15,1596845475,124992,光谱 2 号武器箱,G3SG1 | 猎人,1596845475
2020-08-08 00:11:15,1596845475,38582,棱彩2号武器箱,MP5-SD | 沙漠精英,1596845475
2020-08-08 00:11:13,1596845473,10053,棱彩2号武器箱,AUG | 汤姆猫,1596845473
2020-08-08 00:11:13,1596845473,334299,反恐精英20周年印花胶囊,印花 | 巨龙传说 (闪亮),1596845473
2020-08-08 00:11:12,1596845472,36423,Fracture Case,SSG 08 | Mainframe 001,1596845472
2020-08-08 00:11:11,1596845471,223035,命悬—线武器箱,AWP | 死神,1596845471
2020-08-08 00:11:11,1596845471,380501,Fracture Case,P2000 | Gnarled,1596845471
2020-08-08 00:11:11,1596845471,61685,“头号特训”武器箱,新星 | 灼木,1596845471
2020-08-08 00:11:07,1596845467,36423,Fracture Case,SSG 08 | Mainframe 001,1596845467
2020-08-08 00:11:06,1596845466,364311,“头号特训”武器箱,MP9 | 中度威胁,1596845466
2020-08-08 00:11:04,1596845464,318491,“头号特训”武器箱,加利尔 AR | 信号灯,1596845464
2020-08-08 00:11:03,1596845463,220350,棱彩2号武器箱,P2000 | 酸蚀,1596845463
2020-08-08 00:11:02,1596845462,342582,暗影武器箱,MAG-7 | 钴核,1596845462
2020-08-08 00:10:59,1596845459,223035,命悬—线武器箱,FN57 | 焰色反应,1596845459
2020-08-08 00:10:58,1596845458,334299,反恐精英20周年印花胶囊,印花 | 老当益壮,1596845458
2020-08-08 00:10:58,1596845458,318491,“头号特训”武器箱,MAC-10 | 销声,1596845458
2020-08-08 00:10:55,1596845455,36423,Fracture Case,MAC-10（StatTrak™） | Allure,1596845455
2020-08-08 00:10:52,1596845452,223035,命悬—线武器箱,SG 553 | 阿罗哈,1596845452
2020-08-08 00:10:52,1596845452,124992,反恐精英20周年武器箱,SCAR-20（StatTrak™） | 仓库突击,1596845452
2020-08-08 00:10:50,1596845450,334299,反恐精英20周年印花胶囊,印花 | 滑翔高手,1596845450
2020-08-08 00:10:48,1596845448,220350,棱彩2号武器箱,AWP | 毛细血管,1596845448
2020-08-08 00:10:48,1596845448,32281,“头号特训”武器箱,MAC-10 | 销声,1596845448
2020-08-08 00:10:45,1596845445,124992,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1596845445
2020-08-08 00:10:44,1596845444,223035,命悬—线武器箱,FN57 | 焰色反应,1596845444
2020-08-08 00:10:42,1596845442,36423,Fracture Case,加利尔 AR | Connexion,1596845442
2020-08-08 00:10:41,1596845441,337599,Fracture Case,P250 | Cassette,1596845441
2020-08-08 00:10:40,1596845440,334299,反恐精英20周年印花胶囊,印花 | 经典反恐精英20周年 (全息),1596845440
2020-08-08 00:10:40,1596845440,318491,“头号特训”武器箱,M4A4 | 镁元素,1596845440
2020-08-08 00:10:40,1596845440,7389,棱彩2号武器箱,内格夫 | 原型机,1596845440
2020-08-08 00:10:36,1596845436,334299,反恐精英20周年印花胶囊,印花 | 核子野兽,1596845436
2020-08-08 00:10:35,1596845435,232381,Fracture Case,Tec-9 | Brother,1596845435
2020-08-08 00:10:34,1596845434,220350,棱彩2号武器箱,CZ75 | 做旧手艺,1596845434
2020-08-08 00:10:31,1596845431,36423,Fracture Case,P90 | Freight,1596845431
2020-08-08 00:10:30,1596845430,214084,光谱 2 号武器箱,截短霰弹枪 | 夜百合,1596845430
2020-08-08 00:10:30,1596845430,334299,反恐精英20周年印花胶囊,印花 | 豚鼠 (全息),1596845430
2020-08-08 00:10:28,1596845428,223035,命悬—线武器箱,SG 553 | 阿罗哈,1596845428
2020-08-08 00:10:25,1596845425,334299,反恐精英20周年印花胶囊,印花 | 像素复仇者,1596845425
2020-08-08 00:10:25,1596845425,61589,伽玛武器箱,Tec-9 | 冰冠,1596845425
2020-08-08 00:10:23,1596845423,335505,棱彩武器箱,R8 左轮手枪 | 头骨粉碎者,1596845423
2020-08-08 00:10:20,1596845420,334299,反恐精英20周年印花胶囊,印花 | 周一无战事,1596845420
2020-08-08 00:10:19,1596845419,36423,Fracture Case,P2000 | Gnarled,1596845419
2020-08-08 00:10:18,1596845418,220350,棱彩2号武器箱,SG 553 | 黯翼,1596845418
2020-08-08 00:10:15,1596845415,223035,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596845415
2020-08-08 00:10:15,1596845415,157973,反恐精英20周年武器箱,MAC-10 | 板条箱,1596845415
2020-08-08 00:10:14,1596845414,87306,光谱 2 号武器箱,SG 553 | 幻影,1596845414
2020-08-08 00:10:13,1596845413,334299,反恐精英20周年印花胶囊,印花 | 豚鼠 (全息),1596845413
2020-08-08 00:10:12,1596845412,61589,伽玛武器箱,PP-野牛 | 收割机,1596845412
